A̱o,Tasa_Act,Tasa_Pas,TPM,IPC
2013M01,17.24,12.54,7,253.4
2013M02,17.38,12.16,7,256.1
2013M03,17.25,12.14,7,257.5
2013M04,17.25,12.19,7,258.1
2013M05,17.96,12.12,7,258.8
2013M06,17.22,11.46,7,259.9
2013M07,17.46,10.55,7,261
2013M08,17.32,10.55,7,262
2013M09,16.3,10.27,7,262.8
2013M10,17.1,10.7,7,263.1
2013M11,17.17,11.13,7,263.8
2013M12,16.85,11.04,7,264.6
2014M01,17.22,11.07,7,268.6
2014M02,17.58,10.65,7,270.8
2014M03,17.28,10.45,7,272.4
2014M04,16.83,10.54,7,273.5
2014M05,16.82,10.23,7,274.9
2014M06,16.49,10.04,7,276.1
2014M07,16.95,9.87,7,278.2
2014M08,16.85,9.87,7,278.6
2014M09,16.41,9.98,7,278.9
2014M10,16.43,10.01,7,279.7
2014M11,15.78,10.28,7,280.7
2014M12,15.94,10.38,7,280
2015M01,16.08,9.09,7,278.9
2015M02,16.21,9.37,6.75,280.7
2015M03,15.86,9.37,6.5,282.6
2015M04,15.37,9.01,6.5,283.3
2015M05,15.64,8.84,6.5,284.5
2015M06,14.87,8.79,6.5,286.1
2015M07,15.3,8.79,6.25,287.1
2015M08,15.26,8.33,6.25,287.2
2015M09,14.39,7.87,6.25,286.6
2015M10,14.65,7.8,6.25,286.8
2015M11,15.13,8.6,6.25,286.6
2015M12,13.95,8.84,6.25,286.6
2016M01,15.01,8.74,6.25,287.5
2016M02,15.04,8.59,6.25,288.9
2016M03,14.87,8.28,5.75,289.6
2016M04,14.39,7.69,5.75,290.2
2016M05,15.57,7.78,5.75,291.2
2016M06,14.21,8.02,5.5,293.1
2016M07,15.41,8.17,5.5,294
2016M08,15.9,8.32,5.5,294.4
2016M09,15.12,8.15,5.5,294.9
2016M10,15.65,8.06,5.5,294.9
2016M11,14.96,8.32,5.5,295.3
2016M12,14.31,8.72,5.5,296.1
2017M01,14.3,9.18,5.5,297.4
2017M02,15.08,8.82,5.5,300
2017M03,15.03,8.43,5.5,301
2017M04,14.8,7.91,5.5,302.1
2017M05,15.06,7.75,5.5,303
2017M06,14.59,8.12,5.5,303.8
2017M07,14.79,8.31,5.5,304.7
2017M08,14.16,8.35,5.5,305.7
2017M09,13.85,8.32,5.5,305.7
2017M10,14.75,8.13,5.5,306.6
2017M11,14.32,8.06,5.5,308.1
2017M12,13.16,8.38,5.5,310.1
2018M01,13.69,8.14,5.5,311
2018M02,13.17,8.13,5.5,313
2018M03,13.72,7.98,5.5,314.1
2018M04,13.54,7.7,5.5,314.8
2018M05,13.44,7.81,5.5,315.1
2018M06,13.52,7.83,5.5,316.4
2018M07,13.36,7.98,5.5,317.6
2018M08,13.26,7.98,5.5,319
2018M09,12.76,8,5.5,319.1
2018M10,13.68,8.1,5.5,320.9
2018M11,13.21,8.14,5.5,322.6
2018M12,12.99,7.95,5.5,323.2
2019M01,13.92,8.12,5.75,323.3
2019M02,14,8.14,5.75,325.8
2019M03,13.67,8.05,5.75,327.1
2019M04,13.61,7.88,5.75,330.1
2019M05,13.86,8.03,5.75,331.3
2019M06,13.93,7.92,5.75,331.6
2019M07,14.35,8.08,5.75,332.5
2019M08,14.02,8.05,5.75,332.7
2019M09,13.5,8.05,5.75,333.2
2019M10,13.42,8.13,5.75,334
2019M11,13.96,8.27,5.75,335
2019M12,13.29,8.22,5.5,336.4
2020M01,14.18,8.19,5.5,337.2
2020M02,14.13,8.11,5.25,338.8
2020M03,12.99,7.59,4.5,339.8
2020M04,11.27,7.6,4.5,341.1
2020M05,11.78,7.7,4.5,338.9
2020M06,12.89,7.78,4.5,340.4
2020M07,12.75,7.79,4.5,342.8
2020M08,13.23,7.39,3.75,343.4
2020M09,13.84,7.06,3.75,344.5
2020M10,13.92,7.03,3.75,346.2
2020M11,13.57,6.69,3,347.8
2020M12,12.91,6.08,3,349.9
2021M01,13.47,5.94,3,351.3
2021M02,13.7,5.86,3,351.9
2021M03,12.84,5.76,3,353.2
2021M04,13.35,4.66,3,354.6
2021M05,13.12,4.28,3,355.3
2021M06,13.06,4.24,3,356.3
2021M07,13.17,4.34,3,357.4
2021M08,12.89,4.01,3,358.8
2021M09,12.71,3.99,3,360.4
